"Label (Grouping)","Tennessee!!Total!!Estimate","Tennessee!!Total!!Margin of Error","Tennessee!!With a disability!!Estimate","Tennessee!!With a disability!!Margin of Error","Tennessee!!Percent with a disability!!Estimate","Tennessee!!Percent with a disability!!Margin of Error","Cannon County, Tennessee!!Total!!Estimate","Cannon County, Tennessee!!Total!!Margin of Error","Cannon County, Tennessee!!With a disability!!Estimate","Cannon County, Tennessee!!With a disability!!Margin of Error","Cannon County, Tennessee!!Percent with a disability!!Estimate","Cannon County, Tennessee!!Percent with a disability!!Margin of Error","Clay County, Tennessee!!Total!!Estimate","Clay County, Tennessee!!Total!!Margin of Error","Clay County, Tennessee!!With a disability!!Estimate","Clay County, Tennessee!!With a disability!!Margin of Error","Clay County, Tennessee!!Percent with a disability!!Estimate","Clay County, Tennessee!!Percent with a disability!!Margin of Error","Cumberland County, Tennessee!!Total!!Estimate","Cumberland County, Tennessee!!Total!!Margin of Error","Cumberland County, Tennessee!!With a disability!!Estimate","Cumberland County, Tennessee!!With a disability!!Margin of Error","Cumberland County, Tennessee!!Percent with a disability!!Estimate","Cumberland County, Tennessee!!Percent with a disability!!Margin of Error","DeKalb County, Tennessee!!Total!!Estimate","DeKalb County, Tennessee!!Total!!Margin of Error","DeKalb County, Tennessee!!With a disability!!Estimate","DeKalb County, Tennessee!!With a disability!!Margin of Error","DeKalb County, Tennessee!!Percent with a disability!!Estimate","DeKalb County, Tennessee!!Percent with a disability!!Margin of Error","Fentress County, Tennessee!!Total!!Estimate","Fentress County, Tennessee!!Total!!Margin of Error","Fentress County, Tennessee!!With a disability!!Estimate","Fentress County, Tennessee!!With a disability!!Margin of Error","Fentress County, Tennessee!!Percent with a disability!!Estimate","Fentress County, Tennessee!!Percent with a disability!!Margin of Error","Jackson County, Tennessee!!Total!!Estimate","Jackson County, Tennessee!!Total!!Margin of Error","Jackson County, Tennessee!!With a disability!!Estimate","Jackson County, Tennessee!!With a disability!!Margin of Error","Jackson County, Tennessee!!Percent with a disability!!Estimate","Jackson County, Tennessee!!Percent with a disability!!Margin of Error","Macon County, Tennessee!!Total!!Estimate","Macon County, Tennessee!!Total!!Margin of Error","Macon County, Tennessee!!With a disability!!Estimate","Macon County, Tennessee!!With a disability!!Margin of Error","Macon County, Tennessee!!Percent with a disability!!Estimate","Macon County, Tennessee!!Percent with a disability!!Margin of Error","Overton County, Tennessee!!Total!!Estimate","Overton County, Tennessee!!Total!!Margin of Error","Overton County, Tennessee!!With a disability!!Estimate","Overton County, Tennessee!!With a disability!!Margin of Error","Overton County, Tennessee!!Percent with a disability!!Estimate","Overton County, Tennessee!!Percent with a disability!!Margin of Error","Pickett County, Tennessee!!Total!!Estimate","Pickett County, Tennessee!!Total!!Margin of Error","Pickett County, Tennessee!!With a disability!!Estimate","Pickett County, Tennessee!!With a disability!!Margin of Error","Pickett County, Tennessee!!Percent with a disability!!Estimate","Pickett County, Tennessee!!Percent with a disability!!Margin of Error","Putnam County, Tennessee!!Total!!Estimate","Putnam County, Tennessee!!Total!!Margin of Error","Putnam County, Tennessee!!With a disability!!Estimate","Putnam County, Tennessee!!With a disability!!Margin of Error","Putnam County, Tennessee!!Percent with a disability!!Estimate","Putnam County, Tennessee!!Percent with a disability!!Margin of Error","Smith County, Tennessee!!Total!!Estimate","Smith County, Tennessee!!Total!!Margin of Error","Smith County, Tennessee!!With a disability!!Estimate","Smith County, Tennessee!!With a disability!!Margin of Error","Smith County, Tennessee!!Percent with a disability!!Estimate","Smith County, Tennessee!!Percent with a disability!!Margin of Error","Van Buren County, Tennessee!!Total!!Estimate","Van Buren County, Tennessee!!Total!!Margin of Error","Van Buren County, Tennessee!!With a disability!!Estimate","Van Buren County, Tennessee!!With a disability!!Margin of Error","Van Buren County, Tennessee!!Percent with a disability!!Estimate","Van Buren County, Tennessee!!Percent with a disability!!Margin of Error","Warren County, Tennessee!!Total!!Estimate","Warren County, Tennessee!!Total!!Margin of Error","Warren County, Tennessee!!With a disability!!Estimate","Warren County, Tennessee!!With a disability!!Margin of Error","Warren County, Tennessee!!Percent with a disability!!Estimate","Warren County, Tennessee!!Percent with a disability!!Margin of Error","White County, Tennessee!!Total!!Estimate","White County, Tennessee!!Total!!Margin of Error","White County, Tennessee!!With a disability!!Estimate","White County, Tennessee!!With a disability!!Margin of Error","White County, Tennessee!!Percent with a disability!!Estimate","White County, Tennessee!!Percent with a disability!!Margin of Error"
"            Population 65 years and over","1,179,679","±1,181","271,697","±3,410","23.0%","±0.3","2,561","±30","539","±117","21.0%","±4.5","1,903","±41","499","±132","26.2%","±6.8","20,351","±147","3,642","±466","17.9%","±2.3","3,837","±114","914","±189","23.8%","±4.8","4,449","±61","1,218","±224","27.4%","±5.1","2,744","±32","699","±161","25.5%","±5.8","3,978","±84","866","±199","21.8%","±5.0","4,665","±74","1,305","±243","28.0%","±5.1","1,384","±28","426","±106","30.8%","±7.7","13,304","±147","3,152","±333","23.7%","±2.5","3,338","±46","760","±119","22.8%","±3.5","1,503","±45","232","±65","15.4%","±4.3","7,338","±179","1,645","±220","22.4%","±2.9","5,866","±97","1,694","±299","28.9%","±4.9"
"                Population 65 to 74 years","721,012","±1,279","123,950","±3,126","17.2%","±0.4","1,566","±28","206","±89","13.2%","±5.7","1,094","±38","158","±58","14.4%","±5.3","11,918","±158","1,603","±298","13.5%","±2.5","2,409","±97","329","±125","13.7%","±5.1","2,699","±63","561","±194","20.8%","±7.2","1,742","±37","332","±128","19.1%","±7.3","2,443","±31","407","±129","16.7%","±5.3","2,884","±72","680","±170","23.6%","±5.8","794","±5","217","±102","27.3%","±12.8","8,117","±118","1,418","±256","17.5%","±3.1","2,081","±33","328","±88","15.8%","±4.1","907","±25","138","±54","15.2%","±5.9","4,450","±142","851","±152","19.1%","±3.2","3,614","±102","781","±212","21.6%","±5.7"
"                Population 75 years and over","458,667","±1,041","147,747","±2,301","32.2%","±0.5","995","±16","333","±76","33.5%","±7.6","809","±41","341","±114","42.2%","±13.7","8,433","±111","2,039","±321","24.2%","±3.7","1,428","±53","585","±122","41.0%","±8.6","1,750","±41","657","±139","37.5%","±8.1","1,002","±33","367","±104","36.6%","±10.5","1,535","±58","459","±153","29.9%","±9.9","1,781","±42","625","±172","35.1%","±9.6","590","±24","209","±69","35.4%","±11.5","5,187","±129","1,734","±252","33.4%","±4.8","1,257","±40","432","±92","34.4%","±7.3","596","±61","94","±40","15.8%","±6.6","2,888","±115","794","±151","27.5%","±5.0","2,252","±97","913","±184","40.5%","±7.9"
"        With a self-care difficulty","(X)","(X)","178,713","±3,723","2.7%","±0.1","(X)","(X)","326","±124","2.4%","±0.9","(X)","(X)","342","±135","4.7%","±1.8","(X)","(X)","1,919","±345","3.2%","±0.6","(X)","(X)","515","±144","2.7%","±0.7","(X)","(X)","947","±264","5.2%","±1.5","(X)","(X)","654","±170","5.8%","±1.5","(X)","(X)","869","±248","3.6%","±1.0","(X)","(X)","837","±201","3.9%","±0.9","(X)","(X)","325","±118","6.8%","±2.5","(X)","(X)","1,504","±318","1.9%","±0.4","(X)","(X)","567","±178","3.0%","±0.9","(X)","(X)","165","±87","2.7%","±1.5","(X)","(X)","1,032","±231","2.6%","±0.6","(X)","(X)","972","±260","3.7%","±1.0"
"            Population under 18 years","1,153,988","±989","12,277","±1,094","1.1%","±0.1","2,515","±142","16","±26","0.6%","±1.1","1,120","±42","10","±17","0.9%","±1.5","7,899","±154","91","±78","1.2%","±1.0","2,999","±106","10","±11","0.3%","±0.4","2,898","±51","181","±158","6.2%","±5.4","1,652","±54","14","±18","0.8%","±1.1","4,925","±71","98","±73","2.0%","±1.5","3,608","±34","33","±36","0.9%","±1.0","672","±36","54","±48","8.0%","±7.3","12,646","±101","103","±65","0.8%","±0.5","3,452","±89","28","±29","0.8%","±0.8","958","±43","21","±30","2.2%","±3.2","7,335","±122","47","±63","0.6%","±0.9","4,560","±123","10","±22","0.2%","±0.5"
"            Population 18 to 64 years","4,226,101","±1,859","78,999","±2,678","1.9%","±0.1","8,759","±111","189","±105","2.2%","±1.2","4,248","±61","109","±76","2.6%","±1.8","32,117","±153","673","±201","2.1%","±0.6","12,411","±126","193","±76","1.6%","±0.6","10,777","±57","266","±101","2.5%","±0.9","6,929","±74","348","±145","5.0%","±2.1","15,431","±110","413","±171","2.7%","±1.1","13,443","±87","375","±141","2.8%","±1.0","2,757","±44","186","±96","6.7%","±3.5","51,277","±179","468","±184","0.9%","±0.4","12,318","±65","360","±162","2.9%","±1.3","3,548","±53","38","±31","1.1%","±0.9","24,565","±170","573","±208","2.3%","±0.8","15,880","±118","492","±149","3.1%","±0.9"
"                Population 18 to 34 years","1,574,502","±1,966","13,236","±1,035","0.8%","±0.1","2,958","±138","77","±63","2.6%","±2.1","1,022","±102","0","±20","0.0%","±4.3","9,673","±143","52","±41","0.5%","±0.4","4,242","±173","0","±26","0.0%","±1.1","3,402","±101","10","±20","0.3%","±0.6","2,184","±94","65","±73","3.0%","±3.4","5,374","±144","49","±37","0.9%","±0.7","4,568","±85","45","±49","1.0%","±1.1","705","±44","17","±31","2.4%","±4.4","23,049","±299","121","±112","0.5%","±0.5","4,084","±93","60","±49","1.5%","±1.2","1,103","±43","0","±20","0.0%","±4.0","8,606","±216","156","±103","1.8%","±1.2","5,298","±157","63","±46","1.2%","±0.9"
"                Population 35 to 64 years","2,651,599","±2,194","65,763","±2,490","2.5%","±0.1","5,801","±100","112","±79","1.9%","±1.4","3,226","±108","109","±76","3.4%","±2.4","22,444","±171","621","±197","2.8%","±0.9","8,169","±176","193","±76","2.4%","±0.9","7,375","±95","256","±96","3.5%","±1.3","4,745","±71","283","±134","6.0%","±2.8","10,057","±146","364","±158","3.6%","±1.6","8,875","±98","330","±133","3.7%","±1.5","2,052","±58","169","±90","8.2%","±4.4","28,228","±325","347","±130","1.2%","±0.5","8,234","±100","300","±157","3.6%","±1.9","2,445","±53","38","±31","1.6%","±1.3","15,959","±281","417","±146","2.6%","±0.9","10,582","±164","429","±133","4.1%","±1.3"
"            Population 65 years and over","1,179,679","±1,181","87,437","±2,381","7.4%","±0.2","2,561","±30","121","±60","4.7%","±2.3","1,903","±41","223","±105","11.7%","±5.5","20,351","±147","1,155","±276","5.7%","±1.4","3,837","±114","312","±113","8.1%","±2.9","4,449","±61","500","±149","11.2%","±3.3","2,744","±32","292","±113","10.6%","±4.1","3,978","±84","358","±160","9.0%","±4.0","4,665","±74","429","±115","9.2%","±2.5","1,384","±28","85","±43","6.1%","±3.1","13,304","±147","933","±232","7.0%","±1.7","3,338","±46","179","±69","5.4%","±2.1","1,503","±45","106","±80","7.1%","±5.4","7,338","±179","412","±121","5.6%","±1.6","5,866","±97","470","±195","8.0%","±3.3"
"                Population 65 to 74 years","721,012","±1,279","32,878","±1,444","4.6%","±0.2","1,566","±28","31","±31","2.0%","±2.0","1,094","±38","61","±45","5.6%","±4.2","11,918","±158","480","±206","4.0%","±1.7","2,409","±97","119","±96","4.9%","±4.0","2,699","±63","175","±79","6.5%","±2.9","1,742","±37","131","±83","7.5%","±4.8","2,443","±31","127","±99","5.2%","±4.1","2,884","±72","240","±97","8.3%","±3.3","794","±5","9","±8","1.1%","±1.1","8,117","±118","331","±138","4.1%","±1.7","2,081","±33","86","±50","4.1%","±2.4","907","±25","81","±76","8.9%","±8.4","4,450","±142","232","±96","5.2%","±2.1","3,614","±102","234","±129","6.5%","±3.5"
"                Population 75 years and over","458,667","±1,041","54,559","±1,884","11.9%","±0.4","995","±16","90","±52","9.0%","±5.2","809","±41","162","±100","20.0%","±12.4","8,433","±111","675","±168","8.0%","±2.0","1,428","±53","193","±73","13.5%","±4.9","1,750","±41","325","±125","18.6%","±7.1","1,002","±33","161","±77","16.1%","±7.8","1,535","±58","231","±137","15.0%","±8.9","1,781","±42","189","±81","10.6%","±4.5","590","±24","76","±41","12.9%","±6.9","5,187","±129","602","±176","11.6%","±3.4","1,257","±40","93","±46","7.4%","±3.6","596","±61","25","±20","4.2%","±3.5","2,888","±115","180","±70","6.2%","±2.4","2,252","±97","236","±130","10.5%","±5.8"
"        With an independent living difficulty","(X)","(X)","354,350","±5,013","6.6%","±0.1","(X)","(X)","856","±177","7.6%","±1.6","(X)","(X)","692","±172","11.3%","±2.8","(X)","(X)","3,928","±531","7.5%","±1.0","(X)","(X)","1,180","±230","7.3%","±1.4","(X)","(X)","1,254","±237","8.2%","±1.6","(X)","(X)","1,321","±246","13.7%","±2.6","(X)","(X)","1,515","±294","7.8%","±1.5","(X)","(X)","1,604","±274","8.9%","±1.5","(X)","(X)","525","±149","12.7%","±3.6","(X)","(X)","3,694","±445","5.7%","±0.7","(X)","(X)","1,062","±214","6.8%","±1.4","(X)","(X)","370","±137","7.3%","±2.7","(X)","(X)","2,603","±418","8.2%","±1.3","(X)","(X)","1,766","±349","8.1%","±1.6"
"            Population 18 to 64 years","4,226,101","±1,859","188,142","±3,969","4.5%","±0.1","8,759","±111","511","±158","5.8%","±1.8","4,248","±61","283","±135","6.7%","±3.2","32,117","±153","2,036","±388","6.3%","±1.2","12,411","±126","627","±161","5.1%","±1.3","10,777","±57","593","±166","5.5%","±1.5","6,929","±74","804","±209","11.6%","±3.0","15,431","±110","942","±230","6.1%","±1.5","13,443","±87","906","±207","6.7%","±1.5","2,757","±44","366","±129","13.3%","±4.7","51,277","±179","1,877","±365","3.7%","±0.7","12,318","±65","657","±192","5.3%","±1.6","3,548","±53","237","±118","6.7%","±3.3","24,565","±170","1,750","±383","7.1%","±1.6","15,880","±118","952","±232","6.0%","±1.5"
"                Population 18 to 34 years","1,574,502","±1,966","52,885","±2,112","3.4%","±0.1","2,958","±138","184","±82","6.2%","±2.8","1,022","±102","30","±38","2.9%","±3.7","9,673","±143","558","±206","5.8%","±2.1","4,242","±173","131","±76","3.1%","±1.8","3,402","±101","229","±116","6.7%","±3.4","2,184","±94","184","±109","8.4%","±5.0","5,374","±144","259","±121","4.8%","±2.2","4,568","±85","163","±79","3.6%","±1.7","705","±44","69","±75","9.8%","±10.8","23,049","±299","736","±224","3.2%","±1.0","4,084","±93","126","±77","3.1%","±1.9","1,103","±43","38","±33","3.4%","±3.0","8,606","±216","509","±196","5.9%","±2.3","5,298","±157","197","±88","3.7%","±1.6"
"                Population 35 to 64 years","2,651,599","±2,194","135,257","±3,062","5.1%","±0.1","5,801","±100","327","±121","5.6%","±2.1","3,226","±108","253","±118","7.8%","±3.7","22,444","±171","1,478","±310","6.6%","±1.4","8,169","±176","496","±144","6.1%","±1.8","7,375","±95","364","±107","4.9%","±1.5","4,745","±71","620","±183","13.1%","±3.9","10,057","±146","683","±211","6.8%","±2.1","8,875","±98","743","±181","8.4%","±2.0","2,052","±58","297","±101","14.5%","±4.9","28,228","±325","1,141","±275","4.0%","±1.0","8,234","±100","531","±159","6.4%","±1.9","2,445","±53","199","±116","8.1%","±4.7","15,959","±281","1,241","±288","7.8%","±1.8","10,582","±164","755","±194","7.1%","±1.9"
"            Population 65 years and over","1,179,679","±1,181","166,208","±2,905","14.1%","±0.2","2,561","±30","345","±105","13.5%","±4.1","1,903","±41","409","±103","21.5%","±5.5","20,351","±147","1,892","±322","9.3%","±1.6","3,837","±114","553","±166","14.4%","±4.2","4,449","±61","661","±165","14.9%","±3.7","2,744","±32","517","±133","18.8%","±4.9","3,978","±84","573","±179","14.4%","±4.5","4,665","±74","698","±155","15.0%","±3.3","1,384","±28","159","±74","11.5%","±5.4","13,304","±147","1,817","±253","13.7%","±1.9","3,338","±46","405","±106","12.1%","±3.1","1,503","±45","133","±60","8.8%","±4.0","7,338","±179","853","±170","11.6%","±2.3","5,866","±97","814","±258","13.9%","±4.4"
"                Population 65 to 74 years","721,012","±1,279","59,859","±1,910","8.3%","±0.3","1,566","±28","85","±57","5.4%","±3.7","1,094","±38","125","±56","11.4%","±5.2","11,918","±158","770","±279","6.5%","±2.3","2,409","±97","189","±111","7.8%","±4.6","2,699","±63","281","±134","10.4%","±5.0","1,742","±37","227","±113","13.0%","±6.5","2,443","±31","234","±117","9.6%","±4.8","2,884","±72","426","±120","14.8%","±4.2","794","±5","59","±47","7.4%","±5.9","8,117","±118","614","±175","7.6%","±2.2","2,081","±33","152","±66","7.3%","±3.2","907","±25","63","±39","6.9%","±4.3","4,450","±142","435","±136","9.8%","±3.0","3,614","±102","362","±152","10.0%","±4.1"
"                Population 75 years and over","458,667","±1,041","106,349","±2,375","23.2%","±0.5","995","±16","260","±91","26.1%","±9.1","809","±41","284","±91","35.1%","±11.4","8,433","±111","1,122","±189","13.3%","±2.2","1,428","±53","364","±126","25.5%","±8.8","1,750","±41","380","±105","21.7%","±6.0","1,002","±33","290","±100","28.9%","±10.0","1,535","±58","339","±140","22.1%","±9.1","1,781","±42","272","±101","15.3%","±5.6","590","±24","100","±51","16.9%","±8.6","5,187","±129","1,203","±207","23.2%","±4.0","1,257","±40","253","±82","20.1%","±6.3","596","±61","70","±47","11.7%","±7.7","2,888","±115","418","±109","14.5%","±3.7","2,252","±97","452","±193","20.1%","±8.5"
